Limit 1 b KM,Limit 1 b KMD,Limit 1 b distances,,Limit 1 y KM,Limit 1 y KMD,Limit 1 y distances,,Limit 2 b KM,Limit 2 b KMD,Limit 2 b distances,,Limit 2 y KM,Limit 2 y KMD,Limit 2 y distances
406.9319,0.0681,0.0009,,147.0626,-0.0626,0,,406.9319,0.0681,0.0009,,147.0626,-0.0626,0
406.931,0.069,0,,164.089,-0.089,0.0241,,406.931,0.069,0,,173.0141,-0.0141,0.0514
416.8759,0.1241,0.0559,,168.0643,-0.0643,0.001,,416.8759,0.1241,0.0559,,164.089,-0.089,0.0241
407.9458,0.0542,0.0146,,176.0806,-0.0806,0.0142,,407.9458,0.0542,0.0146,,160.123,-0.123,0.0583
420.9682,0.0318,0.0351,,222.1061,-0.1061,0.0337,,420.9682,0.0318,0.0351,,168.0643,-0.0643,0.001
424.9375,0.0625,0.0041,,227.0812,-0.0812,0.0083,,424.9375,0.0625,0.0041,,181.9898,0.0102,0.0766
427.9805,0.0195,0.0463,,234.0506,-0.0506,0.0229,,427.9805,0.0195,0.0463,,163.1403,-0.1403,0.075
449.9691,0.0309,0.0321,,244.0825,-0.0825,0.0075,,449.9691,0.0309,0.0321,,176.0806,-0.0806,0.0142
461.9846,0.0154,0.0459,,244.0822,-0.0822,0.0072,,461.9846,0.0154,0.0459,,183.1185,-0.1185,0.0509
466.9961,0.0039,0.0567,,256.0904,-0.0904,0.0138,,466.9961,0.0039,0.0567,,231.9918,0.0082,0.0809
480.9557,0.0443,0.0148,,262.0884,-0.0884,0.011,,472.0109,-0.0109,0.0707,,222.1061,-0.1061,0.0337
477.994,0.006,0.0532,,272.0688,-0.0688,0.0096,,480.9557,0.0443,0.0148,,227.0812,-0.0812,0.0083
493.9631,0.0369,0.0204,,280.0794,-0.0794,0.0002,,477.994,0.006,0.0532,,234.0506,-0.0506,0.0229
498.9544,0.0456,0.0111,,279.0955,-0.0955,0.016,,493.9631,0.0369,0.0204,,237.1112,-0.1112,0.0368
503.9509,0.0491,0.0071,,288.0826,-0.0826,0.002,,498.9544,0.0456,0.0111,,244.0825,-0.0825,0.0075
503.9506,0.0494,0.0067,,290.0764,-0.0764,0.0044,,503.9509,0.0491,0.0071,,244.0822,-0.0822,0.0072
513.9937,0.0063,0.0482,,298.115,-0.115,0.0328,,503.9506,0.0494,0.0067,,255.0218,-0.0218,0.0542
521.9638,0.0362,0.0175,,308.0907,-0.0907,0.0075,,513.9937,0.0063,0.0482,,256.0904,-0.0904,0.0138
530.8951,0.1049,0.0518,,310.0935,-0.0935,0.01,,521.9638,0.0362,0.0175,,262.0884,-0.0884,0.011
524.9968,0.0032,0.0498,,343.1168,-0.1168,0.0289,,530.8951,0.1049,0.0518,,272.0688,-0.0688,0.0096
544.8965,0.1035,0.0523,,343.1191,-0.1191,0.0312,,524.9968,0.0032,0.0498,,280.0794,-0.0794,0.0002
547.8886,0.1114,0.0604,,361.1223,-0.1223,0.0321,,544.8965,0.1035,0.0523,,279.0955,-0.0955,0.016
552.9174,0.0826,0.0326,,371.1051,-0.1051,0.0138,,547.8886,0.1114,0.0604,,288.0826,-0.0826,0.002
